CSC8208,Research Methods and Group Project in Security and Resilience,20
CSC8499,Project and Dissertation for MSc in Advanced Computer Science,90
CSC8404,Advanced Programming in Java,10
CSC8201,The Challenge of Dependable Systems,10
CSC8414,Security Tools and Analysis,20
CSC8112,Internet of Things,10
CSC8204,High Integrity Software Development,10
CSC8207,Security Analysis of Complex Systems,10
